ka	က
kyoe	ကြိုး
kyar	ကြာ
ka	က
chaung	ချောင်
lwan	လွမ်း
nan	နန်း
ka	က
chaung	ချောင်
lwan	လွမ်း
nang	နန်း
ka	က
chaung	ချောင်
lwan	လွမ်း
nann	နန်း
ka	က
chon	ချုံ
nan	နန်
sain	ဆိန်း
ka	က
chon	ချုံ
nan	နန်
sein	ဆိန်း
ka	က
chone	ချုံး
nin	နင်
ze	ဇီ
ka	က
chone	ချုံး
nin	နင်
zi	ဇီ
ka	က
sone	ဆုန်
moe	မိုး
ka	က
sone	ဆုန်
lin	လင်း
ka	က
sone	ဆုန်
linn	လင်း
ka	က
sone	ဆုန်
lynn	လင်း
ka	က
soon	ဆွန်း
ze	ဇီ
tar	တာ
ran	ရမ်
ka	က
soon	ဆွန်း
ze	ဇီ
tar	တာ
yan	ရမ်
ka	က
soon	ဆွန်း
ze	ဇီ
ter	တာ
ran	ရမ်
ka	က
soon	ဆွန်း
ze	ဇီ
ter	တာ
yan	ရမ်
ka	က
soon	ဆွန်း
zi	ဇီ
tar	တာ
ran	ရမ်
ka	က
soon	ဆွန်း
zi	ဇီ
tar	တာ
yan	ရမ်
ka	က
soon	ဆွန်း
zi	ဇီ
ter	တာ
ran	ရမ်
ka	က
soon	ဆွန်း
zi	ဇီ
ter	တာ
yan	ရမ်
ka	က
soon	ဆွန်း
bay	ဗေး
ran	ရမ်
ka	က
soon	ဆွန်း
bay	ဗေး
yan	ရမ်
ka	က
zin	ဇင်
lin	လင်း
ka	က
zin	ဇင်
linn	လင်း
ka	က
zin	ဇင်
lynn	လင်း
ka	က
toe	တိုး
ka	က
hti	ထိ
na	န
oo	ဦး
ka	က
daung	ဒေါင်
daint	ဒိမ့်
aung	အောင်
ka	က
daung	ဒေါင်
deint	ဒိမ့်
aung	အောင်
ka	က
naung	နောင်
oo	ဦး
ka	က
paw	ပေါ်
htoo	ထူး
ka	က
paw	ပေါ်
htue	ထူး
ka	က
phaik	ဖိုက်
yat	ယတ်
aular	အူလ္လာ
ka	က
phaik	ဖိုက်
yat	ယတ်
eular	အူလ္လာ
ka	က
byar	ဗျာ
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
hmoo	မှူး
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
hmooe	မှူး
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
hmue	မှူး
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
mhoo	မှူး
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
mhooe	မှူး
ka	က
byar	ဗျာ
kyawt	ကျော့
kyawt	ကျော့
mhue	မှူး
ka	က
byar	ဗျာ
kyi	ကြည်
phyu	ဖြူ
aung	အောင်
ka	က
byar	ဗျာ
nway	နွေး
nway	နွေး
ka	က
byar	ဗျာ
nwal	နွယ်
ka	က
byar	ဗျာ
nwe	နွယ်
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
hmoo	မှူး
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
hmooe	မှူး
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
hmue	မှူး
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
mhoo	မှူး
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
mhooe	မှူး
ka	က
byar	ဗျာ
paing	ပိုင်
paing	ပိုင်
mhue	မှူး
ka	က
byar	ဗျာ
phoo	ဖူး
ka	က
byar	ဗျာ
phu	ဖူး
ka	က
byar	ဗျာ
phue	ဖူး
ka	က
byar	ဗျာ
phuu	ဖူး
ka	က
byar	ဗျာ
phoo	ဖူး
wai	ဝေ
ka	က
byar	ဗျာ
phue	ဖူး
wai	ဝေ
ka	က
byar	ဗျာ
phuu	ဖူး
wai	ဝေ
ka	က
byar	ဗျာ
phu	ဖူး
wai	ဝေ
ka	က
byar	ဗျာ
phyo	ဖြိုး
ka	က
byar	ဗျာ
phyoe	ဖြိုး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
hmoo	မှူး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
hmooe	မှူး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
hmue	မှူး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
mhoo	မှူး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
mhooe	မှူး
ka	က
byar	ဗျာ
bwe	ဘွဲ့
mhue	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
hmoo	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
hmooe	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
hmue	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
mhoo	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
mhooe	မှူး
ka	က
byar	ဗျာ
bwet	ဘွဲ့
mhue	မှူး
ka	က
byar	ဗျာ
moe	မိုး
ka	က
byar	ဗျာ
moe	မိုး
sat	စက်
ka	က
byar	ဗျာ
moe	မိုး
satt	စက်
ka	က
byar	ဗျာ
moe	မိုး
set	စက်
ka	က
byar	ဗျာ
moe	မိုး
sett	စက်
ka	က
byar	ဗျာ
moe	မိုး
htat	ထက်
ka	က
byar	ဗျာ
moe	မိုး
htet	ထက်
ka	က
byar	ဗျာ
min	မင်း
ka	က
byar	ဗျာ
minn	မင်း
ka	က
byar	ဗျာ
myint	မြင့်
mo	မိုရ်
ka	က
byar	ဗျာ
la	လ
min	မင်း
aein	အိမ်
ka	က
byar	ဗျာ
la	လ
min	မင်း
eain	အိမ်
ka	က
byar	ဗျာ
la	လ
minn	မင်း
aein	အိမ်
ka	က
byar	ဗျာ
la	လ
minn	မင်း
eain	အိမ်
ka	က
byar	ဗျာ
thae	သဲ
maung	မောင်
ka	က
byar	ဗျာ
thae	သဲ
mg	မောင်
ka	က
byar	ဗျာ
thal	သဲ
maung	မောင်
ka	က
byar	ဗျာ
thal	သဲ
mg	မောင်
ka	က
byar	ဗျာ
thel	သဲ
maung	မောင်
ka	က
byar	ဗျာ
thel	သဲ
mg	မောင်
ka	က
byar	ဗျာ
thet	သက်
hmoo	မှူး
ka	က
byar	ဗျာ
thet	သက်
hmooe	မှူး
ka	က
byar	ဗျာ
thet	သက်
hmue	မှူး
ka	က
byar	ဗျာ
thet	သက်
mhoo	မှူး
ka	က
byar	ဗျာ
thet	သက်
mhooe	မှူး
ka	က
byar	ဗျာ
thet	သက်
mhue	မှူး
ka	က
byar	ဗျာ
thet	သက်
wai	ဝေ
ka	က
yah	ယား
thu	သူ
lay	လေး
ka	က
yar	ယား
thu	သူ
lay	လေး
ka	က
ya	ယား
thu	သူ
lay	လေး
ka	က
re	ရီ
si	စီ
ei	အီ
yan	ယာန်
hlawn	လှောန်
kywa	ကြွ
ka	က
ri	ရီ
si	စီ
ei	အီ
yan	ယာန်
hlawn	လှောန်
kywa	ကြွ
ka	က
yee	ရီ
si	စီ
ei	အီ
yan	ယာန်
hlawn	လှောန်
kywa	ကြွ
ka	က
yie	ရီ
si	စီ
ei	အီ
yan	ယာန်
hlawn	လှောန်
kywa	ကြွ
ka	က
yi	ရီ
si	စီ
ei	အီ
yan	ယာန်
hlawn	လှောန်
kywa	ကြွ
ka	က
rat	ရက်
swon	စွန်း
ka	က
ret	ရက်
swon	စွန်း
ka	က
yat	ရက်
swon	စွန်း
ka	က
yet	ရက်
swon	စွန်း
ka	က
roy	ရိုင်
gwan	ဂွမ်
jar	ဂျာ
aung	အောင်
ka	က
yoy	ရိုင်
gwan	ဂွမ်
jar	ဂျာ
aung	အောင်
ka	က
rain	ရိန်
hseng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
rain	ရိန်
hseng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
rain	ရိန်
seng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
rain	ရိန်
seng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
rein	ရိန်
hseng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
rein	ရိန်
hseng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
rein	ရိန်
seng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
rein	ရိန်
seng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
yain	ရိန်
hseng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
yain	ရိန်
hseng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
yain	ရိန်
seng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
yain	ရိန်
seng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
yein	ရိန်
hseng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
yein	ရိန်
hseng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
yein	ရိန်
seng	ဆိုင်း
nue	နူး
jar	ဂျာ
ka	က
yein	ရိန်
seng	ဆိုင်း
nuu	နူး
jar	ဂျာ
ka	က
rain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
rain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
rain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
rain	ရိန်
seng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
rain	ရိန်
seng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
rain	ရိန်
seng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
rein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
rein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
rein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
rein	ရိန်
seng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
rein	ရိန်
seng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
rein	ရိန်
seng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
yain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
yain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
yain	ရိန်
hseng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
yain	ရိန်
seng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
yain	ရိန်
seng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
yain	ရိန်
seng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
yein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
yein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
yein	ရိန်
hseng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
yein	ရိန်
seng	ဆိုင်း
moon	မွန်း
mai	မိုင်
ka	က
yein	ရိန်
seng	ဆိုင်း
moon	မွန်း
mine	မိုင်
ka	က
yein	ရိန်
seng	ဆိုင်း
moon	မွန်း
my	မိုင်
ka	က
rain	ရိန်
lu	လု
jar	ဂျာ
ka	က
rein	ရိန်
lu	လု
jar	ဂျာ
ka	က
yain	ရိန်
lu	လု
jar	ဂျာ
ka	က
yein	ရိန်
lu	လု
jar	ဂျာ
ka	က
rain	ရိန်
aung	အောင်
nan	နန်
ka	က
rein	ရိန်
aung	အောင်
nan	နန်
ka	က
yain	ရိန်
aung	အောင်
nan	နန်
ka	က
yein	ရိန်
aung	အောင်
nan	နန်
ka	က
shee	ရှီး
pawt	ပေါ့
ka	က
shee	ရှီး
pop	ပေါ့
ka	က
shie	ရှီး
pawt	ပေါ့
ka	က
shie	ရှီး
pop	ပေါ့
ca	က
la	လာ
re	ရီ
ca	ကာ
ca	က
la	လာ
ri	ရီ
ca	ကာ
ka	က
lar	လာ
re	ရီ
ca	ကာ
ka	က
lar	လာ
re	ရီ
kar	ကာ
ka	က
lar	လာ
ri	ရီ
ca	ကာ
ka	က
lar	လာ
ri	ရီ
kar	ကာ
ka	က
lar	လာ
yee	ရီ
ca	ကာ
ka	က
lar	လာ
yee	ရီ
kar	ကာ
ka	က
lar	လာ
yi	ရီ
ca	ကာ
ka	က
lar	လာ
yie	ရီ
ca	ကာ
ka	က
lar	လာ
yie	ရီ
kar	ကာ
ka	က
lar	လာ
yi	ရီ
kar	ကာ
ka	က
lay	လေး
mar	မာ
ka	က
lay	လေး
maung	မောင်
ka	က
lay	လေး
mg	မောင်
ka	က
lay	လေး
lay	လေး
ka	က
lae	လဲ
dit	ဒစ်
nyein	ငြိမ်း
nyein	ငြိမ်း
aye	အေး
ka	က
lal	လဲ
dit	ဒစ်
nyein	ငြိမ်း
nyein	ငြိမ်း
aye	အေး
ka	က
lo	လို
phaw	ဖော
ca	က
lo	လို
re	ရီ
a	ယာ
ca	က
lo	လို
ri	ရီ
a	ယာ
ka	က
lo	လို
re	ရီ
yar	ယာ
ka	က
lo	လို
ri	ရီ
yar	ယာ
ka	က
lo	လို
yee	ရီ
yar	ယာ
ka	က
lo	လို
yie	ရီ
yar	ယာ
ka	က
lo	လို
yi	ရီ
yar	ယာ
ka	က
layar	လျာ
ka	က
lyar	လျာ
ka	က
layar	လျာ
kyaw	ကျော်
ka	က
lyar	လျာ
kyaw	ကျော်
ka	က
layar	လျာ
kyaw	ကျော်
zin	ဇင်
ka	က
lyar	လျာ
kyaw	ကျော်
zin	ဇင်
ka	က
layar	လျာ
chit	ချစ်
oo	ဦး
ka	က
lyar	လျာ
chit	ချစ်
oo	ဦး
ka	က
layar	လျာ
chan	ချမ်း
ka	က
